[2025-11-28T23:05:36.963Z] [debug] 2025-11-28T23:05:36.963Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-28T23:05:36.958Z] [debug] 2025-11-28T23:05:36.958Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-28T23:05:36.955Z] [debug] 2025-11-28T23:05:36.955Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-28T23:05:36.946Z] [debug] 2025-11-28T23:05:36.946Z | DEBUG : [Database] Finished retrieving all records in Encounter table | raw: ["[Database] Finished retrieving all records in Encounter table"]
[2025-11-28T23:05:36.937Z] [debug] 2025-11-28T23:05:36.937Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in Encounter table: 6 records found"]
[2025-11-28T23:05:36.909Z] [debug] 2025-11-28T23:05:36.909Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-28T23:05:36.875Z] [debug] 2025-11-28T23:05:36.875Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-28T23:05:36.818Z] [debug] 2025-11-28T23:05:36.818Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-28T23:05:36.794Z] [debug] 2025-11-28T23:05:36.794Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-28T23:05:36.784Z] [debug] 2025-11-28T23:05:36.784Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-28T23:05:36.778Z] [debug] 2025-11-28T23:05:36.778Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-28T23:05:36.752Z] [debug] 2025-11-28T23:05:36.752Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
[2025-11-28T23:05:36.704Z] [debug] 2025-11-28T23:05:36.704Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationState table: 7 records found"]
[2025-11-28T23:05:36.632Z] [debug] 2025-11-28T23:05:36.632Z | DEBUG : [Database] Finished retrieving all records in NotificationPreference table | raw: ["[Database] Finished retrieving all records in NotificationPreference table"]
[2025-11-28T23:05:36.536Z] [debug] 2025-11-28T23:05:36.536Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in NotificationPreference table: 7 records found"]
[2025-11-28T23:05:36.478Z] [debug] 2025-11-28T23:05:36.478Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-28T23:05:36.413Z] [debug] 2025-11-28T23:05:36.413Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-28T23:05:36.311Z] [info] 2025-11-28T23:05:36.311Z | INFO : Navigating to route name: SettingsStack | raw: ["Navigating to route name: SettingsStack"]
[2025-11-28T23:05:36.228Z] [debug] 2025-11-28T23:05:36.227Z | DEBUG : [Navigation] Current route name: SettingsStack | raw: ["[Navigation] Current route name:","SettingsStack"]
[2025-11-28T23:05:36.155Z] [debug] 2025-11-28T23:05:36.155Z | DEBUG : [Navigation] Previous route name: Calendar | raw: ["[Navigation] Previous route name:","Calendar"]
[2025-11-28T23:05:36.032Z] [debug] 2025-11-28T23:05:36.032Z | DEBUG : [Database] Finished retrieving all records in CalendarEvent table | raw: ["[Database] Finished retrieving all records in CalendarEvent table"]
[2025-11-28T23:05:36.021Z] [debug] 2025-11-28T23:05:36.020Z | DEBUG : [Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found | raw: ["[Database] Retrieving all non-deleted and non-draft records in CalendarEvent table: 6 records found"]
[2025-11-28T23:05:36.003Z] [debug] 2025-11-28T23:05:36.002Z | DEBUG : [Database] Finished retrieving all records in NotificationState table | raw: ["[Database] Finished retrieving all records in NotificationState table"]
